Identifiant entrepôt,Nom court de l'emplacement,Description entrepôt,Lieu entrepôt,Adresse,Code postal,Ville,Departement,Code pays,Téléphone,Fax,État,Entrepôt parent,Nom court de l'emplacement,
247,SEC-MAIN,"L&#39;entrep&ocirc;t des denr&eacute;es s&egrave;ches est un vaste espace de stockage con&ccedil;u sp&eacute;cifiquement pour entreposer et pr&eacute;server des produits alimentaires non p&eacute;rissables tels que les c&eacute;r&eacute;ales, les conserves, les p&acirc;tes, le riz, les produits en bo&icirc;te, etc. Situ&eacute; strat&eacute;giquement dans une zone accessible aux moyens de transport, cet entrep&ocirc;t est essentiel pour la logistique alimentaire.",Emplacement denrée sèches,"Zoning Ecolys, Rue Benjamin Franklin 23",5020,Namur,,BE,,,0,,,
308,SEC-A13,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
309,SEC-A23,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
311,SEC-A43,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
312,SEC-A53,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
313,SEC-A12,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
314,SEC-A22,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
316,SEC-A42,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
317,SEC-A52,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
318,SEC-A11,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
319,SEC-A21,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
320,SEC-A31,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
321,SEC-A41,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
322,SEC-A51,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
323,SEC-B13,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
324,SEC-B23,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
326,SEC-B43,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
327,SEC-B53,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
328,SEC-B12,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
329,SEC-B22,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
331,SEC-B42,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
332,SEC-B52,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
333,SEC-B11,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
334,SEC-B21,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
335,SEC-B31,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
336,SEC-B41,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
337,SEC-B51,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
338,SEC-C13,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
339,SEC-C23,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
341,SEC-C43,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
342,SEC-C53,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
343,SEC-C12,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
344,SEC-C22,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
346,SEC-C42,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
347,SEC-C52,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
348,SEC-C11,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
349,SEC-C21,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
350,SEC-C31,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
351,SEC-C41,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
352,SEC-C51,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
353,SEC-D13,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
354,SEC-D23,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
356,SEC-D43,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
357,SEC-D53,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
358,SEC-D12,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
359,SEC-D22,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
361,SEC-D42,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
362,SEC-D52,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
363,SEC-D11,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
364,SEC-D21,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
365,SEC-D31,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
366,SEC-D41,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
367,SEC-D51,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
368,FRIG-MAIN,,Frigo Principal,,,,,BE,,,0,,,
407,FRIG-A12,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
408,FRIG-A22,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
409,FRIG-A32,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
410,FRIG-A42,Rangée/Travée/Etage,Stock Produits Frais,,,,,,,,1,368,FRIG-MAIN,
